bill_id,Date,Ref. No.,Party's Name,Amount,tax,tax_amount,base_amount,tds,amount_after_tds,payment_id,Due on,Overdue
103,12-Mar-2018,1704002044,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,67.96,,,,,,,12-Mar-2018,63
104,12-Mar-2018,1704002042,BUSSAN AUTO FINANCE INDIA PVT LTD OPS PL DEL,4866.99,,,,,,,12-Mar-2018,63
105,12-Mar-2018,1704002046,BUSSAN AUTO FINANCE INDIA PVT LTD SALES-MARKET DEL,509.71,,,,,,,12-Mar-2018,63
106,12-Mar-2018,1704002037,The Bussan Auto Finance India Pvt.Ltd-DEL,34376.97,,,,,,,12-Mar-2018,63
107,23-Mar-2018,020817/D/1650,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,12642.05,,,,,,,23-Mar-2018,52
108,23-Mar-2018,020717/D/1649,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,12642.05,,,,,,,23-Mar-2018,52
109,23-Mar-2018,020917/D/1651,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,14454.53,,,,,,,23-Mar-2018,52
110,23-Mar-2018,021017/D/1652,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,15270.14,,,,,,,23-Mar-2018,52
111,23-Mar-2018,021117/D/1653,BUSSAN AUTO FINANCE INDIA PVT LTD ACCOUNTS DEL,15270.14,,,,,,,23-Mar-2018,52
112,23-Mar-2018,020817/D/1666,BUSSAN AUTO FINANCE INDIA PVT LTD CREDIT TW DEL,325.68,,,,,,,23-Mar-2018,52
113,23-Mar-2018,020717/D/1665,BUSSAN AUTO FINANCE INDIA PVT LTD CREDIT TW DEL,325.68,,,,,,,23-Mar-2018,52
114,23-Mar-2018,020917/D/1667,BUSSAN AUTO FINANCE INDIA PVT LTD CREDIT TW DEL,325.68,,,,,,,23-Mar-2018,52
115,23-Mar-2018,021017/D/1668,BUSSAN AUTO FINANCE INDIA PVT LTD CREDIT TW DEL,410.64,,,,,,,23-Mar-2018,52
116,23-Mar-2018,021117/D/1669,BUSSAN AUTO FINANCE INDIA PVT LTD CREDIT TW DEL,410.64,,,,,,,23-Mar-2018,52
117,23-Mar-2018,020817/D/1672,BUSSAN AUTO FINANCE INDIA PVT LTD FINANCE DEL,2364.72,,,,,,,23-Mar-2018,52
118,23-Mar-2018,020717/D/1671,BUSSAN AUTO FINANCE INDIA PVT LTD FINANCE DEL,2364.72,,,,,,,23-Mar-2018,52
119,23-Mar-2018,020917/D/1673,BUSSAN AUTO FINANCE INDIA PVT LTD FINANCE DEL,2364.72,,,,,,,23-Mar-2018,52
120,23-Mar-2018,021017/D/1674,BUSSAN AUTO FINANCE INDIA PVT LTD FINANCE DEL,2364.72,,,,,,,23-Mar-2018,52
121,23-Mar-2018,021117/D/1675,BUSSAN AUTO FINANCE INDIA PVT LTD FINANCE DEL,2364.72,,,,,,,23-Mar-2018,52
122,23-Mar-2018,020817/D/1677,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,1019.52,,,,,,,23-Mar-2018,52
123,23-Mar-2018,020717/D/1676,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,1019.52,,,,,,,23-Mar-2018,52
124,23-Mar-2018,020917/D/1678,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,1019.52,,,,,,,23-Mar-2018,52
125,23-Mar-2018,021017/D/1679,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,1064.83,,,,,,,23-Mar-2018,52
126,23-Mar-2018,021117/D/1680,BUSSAN AUTO FINANCE INDIA PVT LTD HR DEL,1110.14,,,,,,,23-Mar-2018,52
127,23-Mar-2018,020717/D/1683,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,67.97,,,,,,,23-Mar-2018,52
128,23-Mar-2018,020717/D/1689,BUSSAN AUTO FINANCE INDIA PVT LTD OPS 3W DEL,543.74,,,,,,,23-Mar-2018,52
